Highest monomials degrees in LfsrOut as a function of clock cycle: 
#Cycle 	Degrees ---- --- -- -- -  -  -> 
1    	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
2    	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1 
3    	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0 
4    	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1 
5    	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	4	0	1	0	0	0	0	2	0	1	1 
6    	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	2	1	1	1	0	0	0	2	1	1	1	1 
7    	1	1	1	1	1	1	1	0	1	1	1	1	3	1	1	0	0	0	1	2	1	6	1	1	0	0	2	1	2	1	1	1 
8    	1	1	1	1	1	2	1	1	1	0	1	3	3	1	1	0	0	1	2	1	2	7	1	1	0	1	1	2	2	1	1	1 
9    	1	1	1	1	2	4	1	1	0	1	3	0	5	1	1	0	1	2	1	2	4	8	1	1	1	1	2	2	3	1	1	1 
10    	1	1	1	2	4	4	1	0	1	3	1	5	6	1	1	1	2	1	2	4	4	8	1	1	1	2	2	3	5	1	1	1 
11    	1	1	2	4	4	6	1	1	3	1	5	6	1	1	1	2	1	2	4	4	8	10	1	1	2	2	3	5	5	1	1	1 
12    	1	2	4	4	6	7	1	3	1	5	6	1	1	1	2	1	2	4	4	8	10	11	1	2	2	3	5	5	7	1	1	1 
13    	2	4	4	6	7	9	3	1	5	6	1	1	1	2	1	2	4	4	8	10	11	12	2	2	3	5	5	7	9	1	1	1 
14    	4	4	6	7	9	10	1	5	6	1	1	1	12	1	2	4	4	8	10	1	12	12	2	3	5	5	7	9	10	1	1	2 
15    	4	6	7	9	10	1	5	6	1	1	1	11	12	2	4	4	8	10	1	12	12	11	3	5	5	7	9	10	10	1	2	4 
16    	6	7	9	10	1	13	6	1	1	1	11	12	13	4	4	8	10	1	12	12	11	15	5	5	7	9	10	10	10	2	4	4 
17    	7	9	10	1	13	1	1	1	1	11	12	13	15	4	8	10	1	12	12	11	15	14	5	7	9	10	10	10	13	4	4	6 
18    	9	10	1	13	1	1	1	1	11	12	13	15	16	8	10	1	12	12	11	15	14	16	7	9	10	10	10	13	13	4	6	7 
19    	10	1	13	1	1	1	1	11	12	13	15	16	16	10	1	12	12	11	15	14	16	16	9	10	10	10	13	13	16	6	7	9 
